group,key,estimate,title,key_order
2010,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2010
2011,Covered by Union (not a member),0.005,Change of Union Membership among AAPIs 2010-2018,2011
2012,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2012
2013,Covered by Union (not a member),0.02,Change of Union Membership among AAPIs 2010-2018,2013
2014,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2014
2015,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2015
2016,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2016
2017,Covered by Union (not a member),0.01,Change of Union Membership among AAPIs 2010-2018,2017
2018,Covered by Union (not a member),0.02,Change of Union Membership among AAPIs 2010-2018,2018
2010,Union Member,0.1,Change of Union Membership among AAPIs 2010-2018,2010
2011,Union Member,0.09,Change of Union Membership among AAPIs 2010-2018,2011
2012,Union Member,0.11,Change of Union Membership among AAPIs 2010-2018,2012
2013,Union Member,0.11,Change of Union Membership among AAPIs 2010-2018,2013
2014,Union Member,0.13,Change of Union Membership among AAPIs 2010-2018,2014
2015,Union Member,0.1,Change of Union Membership among AAPIs 2010-2018,2015
2016,Union Member,0.07,Change of Union Membership among AAPIs 2010-2018,2016
2017,Union Member,0.08,Change of Union Membership among AAPIs 2010-2018,2017
2018,Union Member,0.09,Change of Union Membership among AAPIs 2010-2018,2018
